date,tempActual,tempIdeal,heaterStatus,fanStatus,opStatus
Sat Nov 21 2020 20:24:27 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:30 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:34 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:37 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:40 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:44 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:47 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:50 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:54 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:57 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:00 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:03 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:07 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:10 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:13 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:17 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:20 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:23 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:27 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:30 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:33 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:36 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:40 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:43 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:46 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:50 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:53 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:56 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:26:00 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:26:03 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:26:06 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:26:09 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:43:17 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:43:20 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:24 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:43:27 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:43:30 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:33 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:37 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:40 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:43 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:43:47 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:50 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:43:53 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:43:57 GMT-0600 (hora estándar central),18.00,18.00,0,0,0
Sat Nov 21 2020 20:44:00 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:03 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:06 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:10 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:13 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:16 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:20 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:23 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:26 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:30 GMT-0600 (hora estándar central),18.06,18.00,0,0,0
Sat Nov 21 2020 20:44:33 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:36 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
Sat Nov 21 2020 20:44:39 GMT-0600 (hora estándar central),18.13,18.00,0,0,0
